beat,total,white,black,aian,asian,nhopi,hisp
0,475,242,52,3,34,2,132
9,257,39,13,0,54,1,122
111,27660,12879,1096,7,5269,218,7228
112,12001,8445,239,5,1115,24,1828
113,12545,8259,24,0,601,0,3173
114,16124,8718,278,121,2380,0,3881
115,50141,24468,851,198,16380,32,5788
116,17435,12162,443,96,826,49,3114
121,386,320,5,0,6,7,40
122,41935,31952,563,45,1839,98,5989
123,3919,3217,58,0,67,67,429
124,31361,23666,587,7,2690,33,3175
126,3080,1852,42,0,646,1,440
231,9719,4965,134,0,3159,0,863
232,11326,5598,162,3,3974,11,1238
233,46107,22740,1002,112,13566,254,5744
234,44436,26830,959,53,8699,222,5260
235,2561,1558,40,0,274,0,600
241,20717,12868,539,49,3495,36,2785
242,69548,18375,3074,90,32926,758,9890
243,6241,2199,237,43,2188,32,1118
245,1249,779,51,0,218,9,156
246,15247,7381,308,18,4986,34,1678
311,25665,12968,2262,160,4084,36,4693
312,28543,16695,1675,111,3382,108,4961
313,5003,2191,142,5,918,158,1482
314,3998,1836,306,13,381,68,1115
315,12652,7244,646,34,1080,22,3178
316,1185,678,57,2,100,0,322
321,9591,4535,924,29,1263,27,2274
322,10901,7288,340,42,915,45,1924
323,7555,5169,331,29,426,0,1313
324,21953,14810,813,2,1726,14,3858
325,11761,8017,386,35,960,3,1929
326,11041,6728,688,17,982,54,2056
327,11534,6303,1195,8,1359,20,2196
431,4377,305,1580,10,208,0,2188
432,11868,571,2513,15,1821,0,6613
433,9734,1315,1721,41,489,12,5874
434,11266,1222,1886,22,1649,27,6066
435,398,89,70,3,25,1,201
436,8420,776,2302,0,1572,61,3435
437,32558,3484,4893,48,12674,275,9540
438,17473,2672,1487,4,3433,292,8982
439,2283,119,361,0,1258,13,453
441,16471,820,1945,0,633,0,12779
442,5119,128,343,0,33,0,4548
443,3931,73,138,0,189,0,3531
444,5783,485,589,1,235,2,4412
445,4675,187,450,35,511,76,3416
446,9877,506,1960,0,967,11,6172
447,5910,1058,1908,4,833,20,1886
451,15441,2626,2662,1,3787,46,5671
452,6881,644,1476,111,2297,16,2166
511,15198,5463,2108,89,766,72,6403
512,14307,788,897,6,220,3,12304
514,2878,630,173,16,55,15,1915
515,4486,472,299,27,100,0,3527
516,5378,797,338,42,170,0,3967
517,8045,2865,429,85,386,0,3849
518,5630,3585,138,19,268,45,1386
521,8323,4032,1028,10,870,49,1977
522,5375,3559,386,1,619,48,660
523,905,536,85,1,79,4,177
524,5830,3235,612,6,498,21,1275
525,1139,603,128,2,70,1,297
526,530,347,22,2,41,0,108
527,1693,1187,33,0,111,0,324
528,1671,1167,35,1,107,0,322
529,8910,6447,268,13,649,14,1345
531,4222,2676,239,12,318,0,893
541,770,418,79,3,51,7,185
611,12762,7703,1002,46,837,97,2618
612,5902,4002,132,12,391,4,1027
613,18942,13545,619,191,1109,30,2705
614,10642,8394,148,8,274,2,1523
615,4620,3478,183,0,294,37,466
616,2522,2256,62,0,32,0,111
617,3881,3001,156,3,134,5,439
618,2491,1945,27,3,99,5,297
621,26268,7690,1340,57,6196,61,9707
622,9598,5881,290,5,710,20,2238
623,2566,1654,186,1,125,0,545
624,12888,7467,716,57,733,24,3353
625,1257,778,104,0,67,12,269
626,5972,4542,74,16,293,9,819
627,15088,10220,587,40,962,18,2629
628,4762,3195,313,67,281,22,735
711,7918,464,105,1,560,0,6635
712,26725,634,167,11,404,2,25430
713,6742,919,632,24,1079,20,3963
714,188,4,3,0,4,0,177
721,9942,1823,636,27,632,97,6523
722,13772,1315,263,34,1547,0,10165
723,31741,2698,1082,8,3293,505,23683
724,6370,705,225,0,565,0,4744
725,5149,838,577,24,986,21,2602
811,9943,3967,1347,18,513,0,3689
812,1028,740,17,0,77,0,166
813,39484,22386,2482,155,2008,252,10913
814,5124,2898,414,4,294,2,1341
821,9852,4133,1429,4,1042,128,2734
822,7214,2174,1782,27,828,7,1953
823,3984,1036,259,0,806,0,1831
824,8566,3816,657,0,1030,46,2836
825,6307,3844,513,19,394,12,1251
826,11407,951,1846,16,2226,30,6206
827,5573,518,1210,0,1529,18,2223
828,2415,208,592,0,251,0,1334
829,751,65,184,0,78,0,415
831,7231,628,300,0,1659,0,4569
832,5471,437,298,0,683,0,3957
833,5819,413,110,0,1094,0,3929
834,9578,825,1269,0,1275,11,6101
835,3110,839,389,0,323,11,1471
836,4443,510,460,0,678,0,2785
837,4469,1124,751,0,494,16,1964
838,7175,1238,1084,0,943,19,3759
839,5832,1213,458,0,456,0,3570
841,4003,1492,456,9,660,11,1281
931,9207,3422,157,14,4446,26,700
932,1363,839,19,0,286,1,165
933,7421,5738,22,0,840,12,546
934,44945,25359,1136,113,12993,4,3276
935,9973,5444,219,68,2899,5,803
936,7851,3515,126,71,2881,31,811
937,9598,5608,104,49,2375,1,1068
